20191227-074001  ; RECEIVED_RATE ; 0 ; SENT_RATE ; 8
20191227-074501  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 16
20191227-075001  ; RECEIVED_RATE ; 72 ; SENT_RATE ; 24
20191227-075501  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 16
20191227-080001  ; RECEIVED_RATE ; 384 ; SENT_RATE ; 48
20191227-080501  ; RECEIVED_RATE ; 48 ; SENT_RATE ; 16
20191227-081001  ; RECEIVED_RATE ; 480 ; SENT_RATE ; 32
20191227-081501  ; RECEIVED_RATE ; 184 ; SENT_RATE ; 24
20191227-082001  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 8
20191227-082501  ; RECEIVED_RATE ; 88 ; SENT_RATE ; 24
20191227-083001  ; RECEIVED_RATE ; 40 ; SENT_RATE ; 8
20191227-083501  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 8
20191227-084001  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 8
20191227-084501  ; RECEIVED_RATE ; 32 ; SENT_RATE ; 8
20191227-085001  ; RECEIVED_RATE ; 208 ; SENT_RATE ; 1288
20191227-085501  ; RECEIVED_RATE ; 408 ; SENT_RATE ; 112
20191227-090001  ; RECEIVED_RATE ; 32 ; SENT_RATE ; 72
20191227-090501  ; RECEIVED_RATE ; 304 ; SENT_RATE ; 24
20191227-091001  ; RECEIVED_RATE ; 800 ; SENT_RATE ; 56
20191227-091501  ; RECEIVED_RATE ; 992 ; SENT_RATE ; 104
20191227-092002  ; RECEIVED_RATE ; 968 ; SENT_RATE ; 72
20191227-092501  ; RECEIVED_RATE ; 1056 ; SENT_RATE ; 256
20191227-093001  ; RECEIVED_RATE ; 648 ; SENT_RATE ; 104
20191227-093501  ; RECEIVED_RATE ; 816 ; SENT_RATE ; 1448
20191227-094001  ; RECEIVED_RATE ; 200 ; SENT_RATE ; 8
20191227-094501  ; RECEIVED_RATE ; 1216 ; SENT_RATE ; 160
20191227-095001  ; RECEIVED_RATE ; 32 ; SENT_RATE ; 8
20191227-095501  ; RECEIVED_RATE ; 112 ; SENT_RATE ; 32
20191227-100001  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 0
20191227-100501  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 8
20191227-101001  ; RECEIVED_RATE ; 40 ; SENT_RATE ; 0
20191227-101501  ; RECEIVED_RATE ; 32 ; SENT_RATE ; 0
20191227-102001  ; RECEIVED_RATE ; 40 ; SENT_RATE ; 8
20191227-102501  ; RECEIVED_RATE ; 0 ; SENT_RATE ; 0
20191227-103001  ; RECEIVED_RATE ; 312 ; SENT_RATE ; 16
20191227-103501  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 8
